unit_id,category,prompt,distinct_1,distinct_2,embedding_dispersion,pairwise_bigram_jaccard,mean_repetition_rate,mean_response_words,sentence_adherence,model
curated-0,Creativity,Tell me a story in five sentences about a girl and her dog.,0.4304291287386216,0.9233817701453104,0.8195542097091675,0.005627589267429513,0.00513196480938416,64.08333333333333,0.25,gpt2
curated-1,Creativity,Tell me a story in five sentences about a boy and his dog.,0.4418604651162791,0.9095966620305981,0.8165931105613708,0.00553204561624732,0.012741841271719642,60.916666666666664,0.25,gpt2
curated-2,Creativity,Tell me the plot line in 5 sentences for a romcom movie set in rural Kansas for Easter.,0.4714086471408647,0.8794326241134752,0.8535587191581726,0.003763477180337219,0.06707830162928569,59.75,0.16666666666666666,gpt2
curated-3,Creativity,Write a haiku about a whale and a walnut tree.,0.5204402515723271,0.8717948717948718,0.875838577747345,0.0041080151142275576,0.05234433436315992,53.0,,gpt2
curated-4,Creativity,Write a short love poem with 4 lines.,0.4507269789983845,0.8484349258649094,0.6892099380493164,0.006468130445767348,0.08555821966467747,51.583333333333336,,gpt2
curated-5,Creativity,Write a short poem of hatred with 4 lines.,0.46774193548387094,0.8766447368421053,0.8089637756347656,0.002466557860330692,0.06312522451939076,51.666666666666664,,gpt2
curated-6,Creativity,Write a short fable about a lemur and a light bulb.,0.49719887955182074,0.8888888888888888,0.8527247905731201,0.006184595932228799,0.037935752569107535,59.5,,gpt2
curated-7,Creativity,Your task is to write a short biography for a made-up historic figure. Your bio should include their birth and death date their profession and their greatest contribution.,0.4528301886792453,0.8974358974358975,0.6272749304771423,0.007364875248862348,0.00685336976320583,53.0,,gpt2
curated-8,Creativity,I am working on a game where players act as a human child who falls into a magical underground world full of monsters and the goal is to find a way back to the surface. Come up with a type of monster and briefly describe its backstory.,0.47956403269754766,0.9141274238227147,0.8065088391304016,0.00757302475468321,0.009140951462552227,61.166666666666664,,gpt2
curated-9,Creativity,I am working on a memoir of a computer science PhD student who worked on machine translation in the 1990s. Suggest a single title and nothing else.,0.5021337126600285,0.9276410998552822,0.8001708388328552,0.00550318855774613,0.01285285557469007,58.583333333333336,,gpt2
curated-10,Creativity,Write a short story that has three main characters Alice Bob and Mallory.,0.48627450980392156,0.9216467463479415,0.7275663614273071,0.006650754482050759,0.0048166891309813775,63.75,,gpt2
curated-11,Creativity,Tell me a dad joke.,0.45794392523364486,0.9139579349904398,0.8679160475730896,0.0034124364546231816,0.05561868686868687,44.583333333333336,,gpt2
curated-12,Creativity,Tell me a funny joke.,0.4377745241581259,0.8777943368107303,0.9121559262275696,0.006789479359191029,0.05799875883654416,56.916666666666664,,gpt2
curated-13,Creativity,Tell me a riddle.,0.44541484716157204,0.92,0.9007608890533447,0.005580970795724108,0.005603448275862076,57.25,,gpt2
curated-14,Creativity,Write an one-sentence happy new year text to my friend.,0.42795389048991356,0.9002932551319648,0.8038662672042847,0.005014249851038488,0.024165296836287403,57.833333333333336,,gpt2
curated-15,Creativity,What would you invent to make the world a more interesting place to live in?,0.4485006518904824,0.9019867549668874,0.8526920080184937,0.008875993255353634,0.0013661202185792365,63.916666666666664,,gpt2
curated-16,Creativity,One thing you might find in a magical forest.,0.45817245817245816,0.9137254901960784,0.798690676689148,0.007551529733949663,0.007657512176288905,64.75,,gpt2
curated-17,Creativity,What is the top item you would add to a grocery list for a memorable shopping experience?,0.5090609555189456,0.9328859060402684,0.7625629901885986,0.004405683827103684,0.005633096150337534,50.583333333333336,,gpt2
curated-18,Creativity,Imagine you are a time traveler who has just arrived in a new era. Describe the first thing you notice.,0.3895939086294416,0.8595360824742269,0.7378620505332947,0.013092750412536632,0.029119623453431498,65.66666666666667,,gpt2
curated-19,Creativity,Generate a sound effect for a car passing by.,0.4884353741496599,0.9017980636237898,0.7439156174659729,0.009384362457044056,0.008342240404933912,61.25,,gpt2
curated-0,Creativity,Tell me a story in five sentences about a girl and her dog.,0.47244094488188976,0.928,0.8514401912689209,0.004885383710148251,0.005394345238095242,63.5,0.16666666666666666,gpt2_lnfree
curated-1,Creativity,Tell me a story in five sentences about a boy and his dog.,0.44052287581699345,0.8738379814077025,0.8647753596305847,0.008731409032112298,0.019158007946926254,63.75,0.25,gpt2_lnfree
curated-2,Creativity,Tell me the plot line in 5 sentences for a romcom movie set in rural Kansas for Easter.,0.4873501997336884,0.9093369418132612,0.8267700672149658,0.007568578601135795,0.009512281239423779,62.583333333333336,0.08333333333333333,gpt2_lnfree
curated-3,Creativity,Write a haiku about a whale and a walnut tree.,0.48468708388814913,0.9025710419485792,0.9189653992652893,0.005709690888086038,0.02347377088018145,62.583333333333336,,gpt2_lnfree
curated-4,Creativity,Write a short love poem with 4 lines.,0.4375876577840112,0.8459343794579173,0.7539563775062561,0.005219400517442353,0.07614053265306857,59.416666666666664,,gpt2_lnfree
curated-5,Creativity,Write a short poem of hatred with 4 lines.,0.42702702702702705,0.8585164835164835,0.8263442516326904,0.008833834391465253,0.02953038493768484,61.666666666666664,,gpt2_lnfree
curated-6,Creativity,Write a short fable about a lemur and a light bulb.,0.5068493150684932,0.915041782729805,0.8949809074401855,0.011191392982556014,0.0013020833333333333,60.833333333333336,,gpt2_lnfree
curated-7,Creativity,Your task is to write a short biography for a made-up historic figure. Your bio should include their birth and death date their profession and their greatest contribution.,0.4559386973180077,0.8923476005188068,0.7200473546981812,0.008905411051420111,0.01429772478325153,65.25,,gpt2_lnfree
curated-8,Creativity,I am working on a game where players act as a human child who falls into a magical underground world full of monsters and the goal is to find a way back to the surface. Come up with a type of monster and briefly describe its backstory.,0.4204993429697766,0.8491321762349799,0.7987798452377319,0.016321664041729706,0.0157722504496698,63.416666666666664,,gpt2_lnfree
curated-9,Creativity,I am working on a memoir of a computer science PhD student who worked on machine translation in the 1990s. Suggest a single title and nothing else.,0.4836173001310616,0.9214380825565912,0.8680359721183777,0.004369556625494264,0.010706654456654446,63.583333333333336,,gpt2_lnfree
curated-10,Creativity,Write a short story that has three main characters Alice Bob and Mallory.,0.4491844416562108,0.89171974522293,0.6956252455711365,0.008740083871771645,0.013781896966779015,66.41666666666667,,gpt2_lnfree
curated-11,Creativity,Tell me a dad joke.,0.41456582633053224,0.8461538461538461,0.8587801456451416,0.010014893103450488,0.03171412775682885,59.5,,gpt2_lnfree
curated-12,Creativity,Tell me a funny joke.,0.4745042492917847,0.909221902017291,0.8887543082237244,0.007610882397846482,0.008504627960091354,58.833333333333336,,gpt2_lnfree
curated-13,Creativity,Tell me a riddle.,0.4556786703601108,0.895774647887324,0.9069669246673584,0.0049860229351614575,0.019208050550090006,60.166666666666664,,gpt2_lnfree
curated-14,Creativity,Write an one-sentence happy new year text to my friend.,0.47283406754772395,0.8714499252615845,0.8154430389404297,0.0033281081974195774,0.09749943366964643,56.75,,gpt2_lnfree
curated-15,Creativity,What would you invent to make the world a more interesting place to live in?,0.4409030544488712,0.8812415654520918,0.8695027232170105,0.008165832870361623,0.02962140519397029,62.75,,gpt2_lnfree
curated-16,Creativity,One thing you might find in a magical forest.,0.4366576819407008,0.8958904109589041,0.8727449774742126,0.006588008237932729,0.0282482688921685,61.833333333333336,,gpt2_lnfree
curated-17,Creativity,What is the top item you would add to a grocery list for a memorable shopping experience?,0.4669365721997301,0.9122085048010974,0.8135151267051697,0.006489541077304693,0.007279361741942307,61.75,,gpt2_lnfree
curated-18,Creativity,Imagine you are a time traveler who has just arrived in a new era. Describe the first thing you notice.,0.4127979924717691,0.867515923566879,0.835015058517456,0.007815733345957615,0.031181143948746187,66.41666666666667,,gpt2_lnfree
curated-19,Creativity,Generate a sound effect for a car passing by.,0.3888888888888889,0.8107769423558897,0.7484752535820007,0.015760920769594563,0.039618798367342715,67.5,,gpt2_lnfree
